,,surname_score,given_name_score,age_score,city_score,years_since_census,is_cambridge,cardinal_prefix,is_match
73,541039,0.5714285714285714,0.33333333333333337,1.0,1.0,0,0,0,0
103,1248433,0.875,0.2222222222222222,1.0,1.0,0,0,0,0
303,1593162,0.8571428571428572,1.0,0.75,1.0,0,0,0,1
303,1754756,0.8571428571428572,0.11111111111111116,1.0,1.0,0,0,0,0
358,2610721,0.6666666666666667,1.0,1.0,1.0,0,1,0,1
683,1350307,0.875,0.5555555555555556,0.75,0.8962962962962964,6,0,0,0
1007,1008039,0.9,0.6666666666666667,1.0,0.5909090909090909,6,0,1,1
1291,1667972,0.6666666666666667,0.16666666666666666,1.0,1.0,6,0,0,0
1003,2447633,0.8888888888888888,0.30000000000000004,1.0,1.0,6,1,0,0
629,240055,0.8333333333333334,0.18181818181818174,1.0,1.0,6,0,0,0
629,425529,0.8333333333333334,0.09090909090909094,1.0,1.0,6,0,0,0
631,1525761,0.8333333333333334,0.8888888888888888,1.0,0.3444444444444444,6,0,0,0
85,1999743,0.875,1.0,0.75,1.0,0,0,0,1
232,3523846,0.7777777777777778,1.0,1.0,0.4138888888888889,0,0,0,0
269,521164,0.8,0.1428571428571429,1.0,1.0,0,0,0,0
269,778707,0.8,0.16666666666666666,1.0,1.0,0,0,0,0
1426,3741780,0.8,0.9,1.0,0.43333333333333335,6,0,0,0
282,251726,0.8888888888888888,0.4285714285714286,1.0,1.0,0,0,0,1
667,530720,0.75,0.125,1.0,1.0,6,0,0,0
938,939797,0.875,0.8333333333333334,1.0,1.0,6,0,0,1
1279,1737873,0.8333333333333334,1.0,1.0,1.0,6,0,0,1
1358,62647,0.8571428571428572,0.2222222222222222,1.0,1.0,6,0,0,0
1358,192088,0.8571428571428572,0.0,1.0,1.0,6,0,0,0
1358,224820,0.8571428571428572,0.33333333333333337,0.75,1.0,6,0,0,0
1358,422145,0.8571428571428572,0.11111111111111116,1.0,1.0,6,0,0,0
1358,795448,0.8571428571428572,0.5555555555555556,1.0,1.0,6,0,0,0
1358,1231147,0.8571428571428572,0.7777777777777778,0.5,1.0,6,0,0,1
1358,1231162,0.8571428571428572,0.33333333333333337,1.0,1.0,6,0,0,0
0,663637,1.0,1.0,0.75,1.0,0,0,0,1
0,670486,1.0,0.2222222222222222,0.75,1.0,0,0,0,0
2,314830,1.0,0.6666666666666667,0.75,0.6904761904761904,0,0,0,0
2,1487121,1.0,0.6666666666666667,0.75,0.7460317460317459,0,0,0,0
2,1488927,1.0,0.5,1.0,0.7460317460317459,0,0,0,0
2,1557610,1.0,0.5,1.0,0.6714285714285714,0,0,0,0
2,3124379,1.0,0.6666666666666667,1.0,0.5670995670995671,0,0,0,0
2,3678756,1.0,0.4285714285714286,1.0,0.6011904761904762,0,0,0,0
3,480017,1.0,0.625,1.0,0.4658119658119658,0,0,0,0
3,2856695,1.0,0.5,1.0,0.6535131535131535,0,0,0,0
1003,2181509,1.0,0.09999999999999998,1.0,1.0,6,1,0,0
1003,2450998,1.0,0.09090909090909094,1.0,1.0,6,1,0,0
1003,2454560,1.0,0.30000000000000004,0.75,1.0,6,1,0,0
1003,2531425,1.0,0.9,1.0,1.0,6,1,0,1
1003,2538903,1.0,0.2,0.75,1.0,6,1,0,0
1003,2540091,1.0,0.0,1.0,1.0,6,1,0,0
1003,2619624,1.0,0.4,1.0,1.0,6,1,0,0
1003,2626362,1.0,0.2,1.0,1.0,6,1,0,0
1005,2185189,1.0,0.11111111111111116,1.0,1.0,6,1,0,0
1005,2186621,1.0,0.8888888888888888,0.0,1.0,6,1,0,0
1005,2192694,1.0,1.0,0.25,1.0,6,1,0,1
1005,2453854,1.0,0.2222222222222222,0.75,1.0,6,1,0,0
1005,2560594,1.0,0.2222222222222222,1.0,1.0,6,1,0,0
4,1764729,1.0,0.625,0.75,1.0,0,0,0,1
6,167927,1.0,0.7777777777777778,1.0,1.0,0,0,0,1
8,2549585,1.0,0.7,1.0,1.0,0,1,0,1
1009,2515642,1.0,0.875,1.0,0.0,6,0,0,0
1009,3430736,1.0,1.0,1.0,1.0,6,0,0,1
1010,543515,1.0,0.75,1.0,0.4798534798534799,6,0,0,1
1010,1103470,1.0,0.875,1.0,0.41452991452991456,6,0,0,0
9,1240263,1.0,1.0,1.0,0.4365079365079365,0,0,0,1
575,179509,1.0,0.33333333333333337,1.0,0.6666666666666666,6,0,0,0
1013,743036,1.0,0.8888888888888888,1.0,0.43210955710955706,6,0,0,0
1013,1622905,1.0,1.0,0.75,0.6581196581196581,6,0,0,1
11,475060,1.0,1.0,1.0,0.0,0,0,0,1
12,2450107,1.0,0.1428571428571429,0.75,1.0,0,1,0,0
12,2550860,1.0,0.75,0.75,1.0,0,1,0,1
18,486597,1.0,0.8,1.0,0.0,0,0,0,1
25,1870878,1.0,1.0,1.0,1.0,0,0,0,1
27,893271,1.0,0.875,0.0,1.0,0,0,0,0
31,1631635,1.0,1.0,1.0,0.4555555555555556,0,0,0,0
609,619029,1.0,0.875,0.75,0.5396825396825397,6,0,0,0
609,619745,1.0,0.875,1.0,0.5396825396825397,6,0,0,0
609,1312687,1.0,1.0,1.0,0.4365079365079365,6,0,0,1
609,1910589,1.0,0.875,1.0,0.4226190476190476,6,0,0,0
42,1977627,1.0,0.8,1.0,1.0,0,0,0,1
43,1627284,1.0,1.0,1.0,0.4222222222222222,0,0,0,1
46,595129,1.0,1.0,1.0,0.4166666666666667,0,0,1,1
46,1484548,1.0,0.6666666666666667,1.0,0.5,0,0,1,0
47,1161488,1.0,0.8888888888888888,1.0,0.4355742296918768,0,0,0,0
47,1828925,1.0,0.8888888888888888,0.75,0.7039215686274509,0,0,0,0
47,2162556,1.0,0.7777777777777778,1.0,0.0,0,0,0,0
47,2248785,1.0,0.2222222222222222,1.0,0.9176470588235296,0,0,0,0
47,2252145,1.0,0.2142857142857143,1.0,0.9176470588235296,0,0,0,0
629,67038,1.0,0.2727272727272727,0.75,1.0,6,0,0,0
629,72188,1.0,0.18181818181818174,0.75,1.0,6,0,0,0
629,233495,1.0,0.2727272727272727,1.0,1.0,6,0,0,0
629,407342,1.0,0.18181818181818174,1.0,1.0,6,0,0,0
629,524622,1.0,0.3636363636363637,0.75,1.0,6,0,0,0
629,656578,1.0,0.5454545454545454,1.0,1.0,6,0,0,0
629,678359,1.0,0.3636363636363637,1.0,1.0,6,0,0,0
629,744452,1.0,0.3636363636363637,1.0,0.8375000000000001,6,0,0,0
629,862351,1.0,0.2727272727272727,1.0,0.8375000000000001,6,0,0,0
629,1192315,1.0,0.4545454545454546,1.0,0.8375000000000001,6,0,0,0
629,1630026,1.0,0.3636363636363637,1.0,0.6666666666666666,6,0,0,0
629,3048197,1.0,0.5454545454545454,1.0,0.6666666666666666,6,0,0,0
630,551850,1.0,0.875,0.75,0.5649572649572651,6,0,0,0
630,775068,1.0,0.75,1.0,0.41452991452991456,6,0,0,1
630,2145718,1.0,0.5,1.0,0.6581196581196581,6,0,0,0
630,2707355,1.0,0.875,1.0,0.553113553113553,6,0,0,0
630,3769937,1.0,1.0,1.0,0.4798534798534799,6,0,0,1
631,644829,1.0,0.7777777777777778,0.5,0.8433333333333334,6,0,0,0
631,1260136,1.0,1.0,0.75,0.6047619047619048,6,0,0,0
631,1366905,1.0,0.4444444444444444,1.0,0.8433333333333334,6,0,0,0
631,1419025,1.0,0.11111111111111116,1.0,0.8433333333333334,6,0,0,0
631,2321188,1.0,0.8888888888888888,1.0,0.5242424242424243,6,0,0,0
631,2575303,1.0,0.6666666666666667,0.75,0.8190476190476191,6,0,0,0
631,3226324,1.0,0.8888888888888888,1.0,0.465079365079365,6,0,0,0
631,3614188,1.0,0.7777777777777778,1.0,0.5083333333333333,6,0,0,1
1067,150610,1.0,0.375,1.0,0.6428571428571429,6,0,0,0
1067,823145,1.0,0.875,0.75,0.6904761904761904,6,0,0,0
1067,1692777,1.0,1.0,1.0,0.417989417989418,6,0,0,1
1067,2677485,1.0,0.875,1.0,0.5238095238095238,6,0,0,0
1067,2743310,1.0,0.25,0.75,1.0,6,0,0,0
1067,2747813,1.0,0.375,0.75,1.0,6,0,0,0
1067,3138001,1.0,0.875,1.0,0.6011904761904762,6,0,0,1
48,3311869,1.0,0.4285714285714286,1.0,0.75,0,0,1,0
48,3385230,1.0,0.8571428571428572,0.75,1.0,0,0,1,1
49,1762703,1.0,0.125,1.0,1.0,0,0,0,0
49,1776176,1.0,0.375,1.0,1.0,0,0,0,0
49,1855259,1.0,0.2222222222222222,1.0,1.0,0,0,0,0
50,229950,1.0,1.0,1.0,0.75,0,0,0,1
53,3823428,1.0,0.4285714285714286,1.0,1.0,0,0,0,1
55,105081,1.0,0.7777777777777778,1.0,0.5833333333333334,0,0,0,0
55,151003,1.0,0.33333333333333337,0.75,1.0,0,0,0,0
55,410878,1.0,0.4444444444444444,0.75,1.0,0,0,0,0
55,492406,1.0,0.11111111111111116,1.0,1.0,0,0,0,0
55,528471,1.0,0.33333333333333337,1.0,1.0,0,0,0,0
55,602861,1.0,0.15384615384615385,0.75,1.0,0,0,0,0
55,721193,1.0,0.3636363636363637,1.0,1.0,0,0,0,0
55,981549,1.0,0.8888888888888888,0.75,1.0,0,0,0,1
55,1218937,1.0,0.30000000000000004,0.75,1.0,0,0,0,0
55,1229836,1.0,0.8888888888888888,0.0,1.0,0,0,0,0
55,1296759,1.0,0.0,1.0,1.0,0,0,0,0
55,1845070,1.0,0.5555555555555556,1.0,0.6111111111111109,0,0,0,0
57,340331,1.0,0.375,1.0,0.4761904761904762,0,0,0,0
57,608272,1.0,0.09999999999999998,1.0,1.0,0,0,0,0
57,692206,1.0,0.25,1.0,1.0,0,0,0,0
57,706388,1.0,0.25,0.75,1.0,0,0,0,0
57,706407,1.0,0.09090909090909094,1.0,1.0,0,0,0,0
58,1147154,1.0,0.25,1.0,0.6523809523809524,0,0,0,0
60,2766558,1.0,0.375,1.0,0.7777777777777777,0,0,0,0
63,332022,1.0,1.0,1.0,0.7460317460317459,0,0,0,1
67,275980,1.0,0.875,1.0,0.0,0,0,0,1
67,1140214,1.0,0.7142857142857143,1.0,0.4722222222222222,0,0,0,1
69,1595127,1.0,0.8571428571428572,0.75,0.6172619047619047,0,0,0,0
71,1797031,1.0,0.7777777777777778,0.75,1.0,0,0,0,1
71,2184357,1.0,0.7777777777777778,1.0,0.5026455026455027,0,1,0,0
73,690060,1.0,0.16666666666666666,0.75,1.0,0,0,0,0
73,699234,1.0,0.1428571428571429,1.0,1.0,0,0,0,0
73,984200,1.0,0.2857142857142857,0.75,1.0,0,0,0,0
74,1585421,1.0,0.33333333333333337,1.0,0.6722222222222222,0,0,0,0
74,1598689,1.0,0.8888888888888888,0.75,0.6722222222222222,0,0,0,0
81,475111,1.0,0.7142857142857143,0.75,0.6666666666666666,0,0,0,1
81,1312109,1.0,0.4444444444444444,1.0,0.6666666666666666,0,0,0,0
1125,3433104,1.0,1.0,0.75,1.0,6,0,0,1
84,2086581,1.0,0.75,1.0,1.0,0,0,0,1
84,2407886,1.0,0.875,0.75,0.5848484848484848,0,0,0,0
93,1553345,1.0,1.0,1.0,0.8134920634920636,0,0,1,1
93,3369205,1.0,0.5,1.0,0.797979797979798,0,0,1,0
93,3707573,1.0,0.375,1.0,0.797979797979798,0,0,1,0
95,2544378,1.0,0.4,0.75,1.0,0,1,0,0
95,2545059,1.0,0.5555555555555556,0.75,1.0,0,1,0,0
377,1720122,1.0,1.0,1.0,0.8923076923076924,0,0,0,1
705,736175,1.0,0.2222222222222222,1.0,0.8958333333333333,6,0,0,0
705,2502405,1.0,0.8333333333333334,0.0,1.0,6,0,0,0
705,2504984,1.0,0.16666666666666666,1.0,1.0,6,0,0,0
705,2513686,1.0,0.16666666666666666,0.75,1.0,6,0,0,0
96,400766,1.0,0.4285714285714286,0.75,1.0,0,0,0,0
96,1384267,1.0,0.7142857142857143,0.75,0.6037037037037037,0,0,0,0
96,2248970,1.0,1.0,1.0,0.4814814814814815,0,1,0,1
99,1070350,1.0,1.0,0.75,0.5833333333333334,0,0,1,1
102,668156,1.0,0.7142857142857143,0.75,1.0,0,0,0,1
102,1215796,1.0,0.2,0.75,1.0,0,0,0,0
107,651452,1.0,0.875,1.0,0.4444444444444444,0,0,0,0
107,736518,1.0,0.375,1.0,0.825,0,0,0,0
107,1180043,1.0,0.5,1.0,0.7333333333333334,0,0,0,0
107,1955462,1.0,0.75,1.0,0.5185185185185185,0,0,0,0
107,3400293,1.0,0.625,1.0,0.6296296296296297,0,0,0,0
113,2137550,1.0,0.7142857142857143,1.0,0.5050505050505051,0,0,1,1
114,1982996,1.0,0.4285714285714286,1.0,0.4191919191919192,0,0,1,1
118,137247,1.0,0.5714285714285714,1.0,1.0,0,0,0,0
118,1269392,1.0,0.5714285714285714,1.0,0.6111111111111109,0,0,0,0
122,2547852,1.0,1.0,0.0,1.0,0,1,0,0
1189,1773891,1.0,0.75,1.0,1.0,6,0,0,1
1189,1779764,1.0,0.125,1.0,1.0,6,0,0,0
131,2128742,1.0,1.0,0.75,0.9090909090909092,0,0,0,1
132,1864577,1.0,0.6666666666666667,0.75,1.0,0,0,0,1
133,1633249,1.0,0.8888888888888888,1.0,0.4191919191919192,0,0,0,0
136,158958,1.0,0.8333333333333334,1.0,0.4006410256410256,0,0,0,0
136,2639670,1.0,0.8333333333333334,1.0,0.0,0,0,0,0
136,3637970,1.0,0.8333333333333334,1.0,0.4957264957264957,0,0,0,0
782,720054,1.0,0.75,1.0,0.4166666666666667,6,0,0,1
782,1595019,1.0,1.0,1.0,0.9666666666666668,6,0,0,1
782,1895954,1.0,0.0,1.0,0.9666666666666668,6,0,0,0
137,137135,1.0,0.8888888888888888,1.0,0.0,0,0,0,1
783,1182073,1.0,0.6666666666666667,1.0,0.4957264957264957,6,0,0,1
783,2299453,1.0,0.8333333333333334,1.0,0.5102564102564102,6,0,0,0
783,2850938,1.0,0.8333333333333334,0.5,0.9692307692307692,6,0,0,0
783,2850942,1.0,0.0,1.0,0.9692307692307692,6,0,0,0
783,3596715,1.0,1.0,1.0,0.9692307692307692,6,0,0,1
140,2412415,1.0,0.7142857142857143,1.0,1.0,0,0,0,1
145,705559,1.0,0.9090909090909092,1.0,0.41452991452991456,0,0,0,0
1238,3677923,1.0,1.0,1.0,0.40659340659340665,6,0,0,1
147,1631304,1.0,0.2857142857142857,1.0,0.9090909090909092,0,0,0,0
149,423101,1.0,1.0,1.0,0.6,0,0,0,1
807,181629,1.0,1.0,0.75,0.6767676767676768,6,0,0,1
158,662089,1.0,0.875,1.0,1.0,0,0,0,1
159,1722763,1.0,0.5714285714285714,0.5,1.0,0,0,0,0
842,130308,1.0,0.1428571428571429,1.0,0.9555555555555556,6,0,0,0
842,259610,1.0,0.7142857142857143,0.5,0.9555555555555556,6,0,0,1
842,1923684,1.0,0.7142857142857143,1.0,0.4259259259259259,6,0,0,1
180,636605,1.0,0.375,1.0,0.7733333333333333,0,0,0,0
180,1502713,1.0,0.25,1.0,0.9333333333333332,0,0,0,0
180,1829079,1.0,0.75,1.0,0.9333333333333332,0,0,0,1
181,5553,1.0,0.5555555555555556,1.0,0.8962962962962964,0,0,0,0
181,11366,1.0,0.11111111111111116,1.0,0.8962962962962964,0,0,0,0
181,16531,1.0,0.3636363636363637,0.75,0.8962962962962964,0,0,0,0
181,205087,1.0,0.2222222222222222,1.0,0.8962962962962964,0,0,0,0
181,325528,1.0,0.5555555555555556,1.0,0.6,0,0,0,0
181,636605,1.0,0.4444444444444444,0.75,0.8962962962962964,0,0,0,0
181,1063389,1.0,0.7777777777777778,1.0,0.6,0,0,0,1
181,2183966,1.0,0.7777777777777778,1.0,0.4740740740740741,0,1,0,1
181,3403459,1.0,0.33333333333333337,1.0,0.7999999999999999,0,0,0,0
1285,1795411,1.0,0.75,1.0,0.5238095238095238,6,0,0,0
1285,2144511,1.0,0.75,1.0,0.417989417989418,6,0,0,0
1285,3790366,1.0,0.875,0.0,1.0,6,0,0,0
1286,7347,1.0,0.09999999999999998,1.0,0.8962962962962964,6,0,0,0
1286,23064,1.0,0.4,1.0,0.5851851851851851,6,0,0,0
1286,202846,1.0,0.30000000000000004,1.0,0.8962962962962964,6,0,0,0
1286,213505,1.0,0.2,1.0,0.8962962962962964,6,0,0,0
1286,892698,1.0,0.9,1.0,0.6,6,0,0,1
1286,1358847,1.0,0.9,1.0,0.8962962962962964,6,0,0,0
1286,1399071,1.0,0.4,0.75,0.8962962962962964,6,0,0,0
1286,1839213,1.0,0.2,1.0,0.7999999999999999,6,0,0,0
1286,2622679,1.0,0.7,1.0,0.4740740740740741,6,1,0,1
186,1880451,1.0,0.8888888888888888,0.75,0.5714285714285715,0,0,0,0
186,2345750,1.0,0.6666666666666667,1.0,0.9142857142857144,0,0,0,1
186,2697685,1.0,0.7777777777777778,1.0,0.9142857142857144,0,0,0,1
192,2727190,1.0,0.2727272727272727,1.0,1.0,0,0,0,0
867,138228,1.0,0.6666666666666667,1.0,0.6767676767676768,6,0,0,1
867,1370422,1.0,0.8571428571428572,1.0,0.42424242424242414,6,0,0,0
867,1861156,1.0,1.0,1.0,0.9636363636363636,6,0,0,1
867,1868241,1.0,0.4444444444444444,1.0,0.9636363636363636,6,0,0,0
868,1951466,1.0,0.625,1.0,0.4111111111111112,6,0,0,0
195,804885,1.0,1.0,0.75,0.6,0,0,0,1
195,1386424,1.0,0.125,1.0,0.8962962962962964,0,0,0,0
875,1573523,1.0,1.0,1.0,0.8955555555555555,6,0,0,1
876,1255594,1.0,0.125,1.0,0.96,6,0,0,0
876,1266827,1.0,1.0,0.75,0.96,6,0,0,1
202,2744231,1.0,0.9090909090909092,0.75,1.0,0,0,0,1
206,2870766,1.0,1.0,1.0,0.3932461873638344,0,0,0,0
208,1623570,1.0,0.8571428571428572,1.0,0.4259259259259259,0,0,0,0
